X,CH1,CH2,
Second,Volt,Volt,
-5.72987e-01,1.70e-01,5.97e-01,
-5.72840e-01,1.74e-01,5.97e-01,
-5.72694e-01,1.74e-01,5.97e-01,
-5.72547e-01,1.84e-01,5.97e-01,
-5.72401e-01,1.74e-01,5.97e-01,
-5.72254e-01,1.72e-01,5.97e-01,
-5.72108e-01,1.74e-01,5.97e-01,
-5.71961e-01,1.72e-01,5.97e-01,
-5.71815e-01,1.68e-01,5.97e-01,
-5.71669e-01,1.74e-01,5.97e-01,
-5.71522e-01,1.74e-01,5.97e-01,
-5.71376e-01,1.74e-01,5.97e-01,
-5.71229e-01,1.72e-01,5.97e-01,
-5.71083e-01,1.72e-01,5.97e-01,
-5.70936e-01,1.74e-01,5.97e-01,
-5.70790e-01,1.72e-01,5.97e-01,
-5.70643e-01,1.74e-01,5.97e-01,
-5.70497e-01,1.74e-01,5.97e-01,
-5.70350e-01,1.74e-01,5.97e-01,
-5.70204e-01,1.74e-01,5.97e-01,
-5.70057e-01,1.74e-01,5.97e-01,
-5.69911e-01,1.74e-01,5.97e-01,
-5.69764e-01,1.74e-01,5.97e-01,
-5.69618e-01,1.74e-01,5.97e-01,
-5.69471e-01,1.74e-01,5.97e-01,
-5.69325e-01,1.74e-01,5.97e-01,
-5.69178e-01,1.74e-01,5.97e-01,
-5.69032e-01,1.74e-01,5.97e-01,
-5.68885e-01,1.74e-01,5.97e-01,
-5.68739e-01,1.68e-01,5.97e-01,
-5.68592e-01,1.68e-01,5.97e-01,
-5.68446e-01,1.72e-01,5.97e-01,
-5.68299e-01,1.74e-01,5.97e-01,
-5.68153e-01,1.72e-01,5.97e-01,
-5.68006e-01,1.56e-01,5.97e-01,
-5.67860e-01,1.74e-01,5.97e-01,
-5.67713e-01,1.74e-01,5.97e-01,
-5.67567e-01,1.74e-01,5.97e-01,
-5.67420e-01,1.74e-01,5.97e-01,
-5.67274e-01,1.70e-01,5.97e-01,
-5.67128e-01,1.74e-01,5.97e-01,
-5.66981e-01,1.74e-01,5.97e-01,
-5.66835e-01,1.74e-01,5.97e-01,
-5.66688e-01,1.74e-01,5.97e-01,
-5.66542e-01,1.74e-01,5.97e-01,
-5.66395e-01,1.74e-01,5.97e-01,
-5.66249e-01,1.74e-01,5.97e-01,
-5.66102e-01,1.74e-01,5.97e-01,
-5.65956e-01,1.74e-01,5.97e-01,
-5.65809e-01,1.72e-01,5.97e-01,
-5.65663e-01,1.74e-01,5.97e-01,
-5.65516e-01,1.74e-01,5.97e-01,
-5.65370e-01,1.74e-01,5.97e-01,
-5.65223e-01,1.70e-01,5.97e-01,
-5.65077e-01,1.76e-01,5.97e-01,
-5.64930e-01,1.74e-01,5.97e-01,
-5.64784e-01,1.72e-01,5.97e-01,
-5.64637e-01,1.74e-01,5.97e-01,
-5.64491e-01,1.74e-01,5.97e-01,
-5.64344e-01,1.74e-01,5.97e-01,
-5.64198e-01,1.74e-01,5.97e-01,
-5.64051e-01,1.74e-01,5.97e-01,
-5.63905e-01,1.74e-01,5.97e-01,
-5.63758e-01,1.74e-01,5.97e-01,
-5.63612e-01,1.74e-01,5.97e-01,
-5.63465e-01,1.74e-01,5.97e-01,
-5.63319e-01,1.74e-01,5.97e-01,
-5.63172e-01,1.74e-01,5.97e-01,
-5.63026e-01,1.74e-01,5.97e-01,
-5.62879e-01,1.72e-01,5.97e-01,
-5.62733e-01,1.68e-01,5.97e-01,
-5.62586e-01,1.72e-01,5.97e-01,
-5.62440e-01,1.74e-01,5.97e-01,
-5.62294e-01,1.74e-01,5.97e-01,
-5.62147e-01,1.74e-01,5.97e-01,
-5.62001e-01,1.74e-01,5.97e-01,
-5.61854e-01,1.72e-01,5.97e-01,
-5.61708e-01,1.72e-01,5.97e-01,
-5.61561e-01,1.72e-01,5.97e-01,
-5.61415e-01,1.74e-01,5.97e-01,
-5.61268e-01,1.96e-01,5.97e-01,
-5.61122e-01,1.70e-01,5.97e-01,
-5.60975e-01,1.72e-01,5.97e-01,
-5.60829e-01,1.72e-01,5.97e-01,
-5.60682e-01,1.74e-01,5.97e-01,
-5.60536e-01,1.74e-01,5.97e-01,
-5.60389e-01,1.70e-01,5.97e-01,
-5.60243e-01,1.74e-01,5.97e-01,
-5.60096e-01,1.72e-01,5.97e-01,
-5.59950e-01,1.72e-01,5.97e-01,
-5.59803e-01,1.68e-01,5.97e-01,
-5.59657e-01,1.74e-01,5.97e-01,
-5.59510e-01,1.72e-01,5.97e-01,
-5.59364e-01,1.72e-01,5.97e-01,
-5.59217e-01,1.70e-01,5.97e-01,
-5.59071e-01,1.68e-01,5.97e-01,
-5.58924e-01,1.72e-01,5.97e-01,
-5.58778e-01,1.72e-01,5.97e-01,
-5.58631e-01,1.72e-01,5.97e-01,
-5.58485e-01,1.72e-01,5.97e-01,
-5.58338e-01,1.66e-01,5.97e-01,
-5.58192e-01,1.72e-01,5.97e-01,
-5.58045e-01,1.72e-01,5.97e-01,
-5.57899e-01,1.72e-01,5.97e-01,
-5.57752e-01,1.72e-01,5.97e-01,
-5.57606e-01,1.72e-01,5.97e-01,
-5.57460e-01,1.74e-01,5.97e-01,
-5.57313e-01,1.72e-01,5.97e-01,
-5.57167e-01,1.74e-01,5.97e-01,
-5.57020e-01,1.72e-01,5.97e-01,
-5.56874e-01,1.74e-01,5.97e-01,
-5.56727e-01,1.66e-01,5.97e-01,
-5.56581e-01,1.74e-01,5.97e-01,
-5.56434e-01,1.72e-01,5.97e-01,
-5.56288e-01,1.72e-01,5.97e-01,
-5.56141e-01,1.72e-01,5.97e-01,
-5.55995e-01,1.68e-01,5.97e-01,
-5.55848e-01,1.72e-01,5.97e-01,
-5.55702e-01,1.72e-01,5.97e-01,
-5.55555e-01,1.74e-01,5.97e-01,
-5.55409e-01,1.74e-01,5.97e-01,
-5.55262e-01,1.70e-01,5.97e-01,
-5.55116e-01,1.74e-01,5.97e-01,
-5.54969e-01,1.74e-01,5.97e-01,
-5.54823e-01,1.74e-01,5.97e-01,
-5.54676e-01,1.74e-01,5.97e-01,
-5.54530e-01,1.78e-01,5.97e-01,
-5.54383e-01,1.74e-01,5.97e-01,
-5.54237e-01,1.74e-01,5.97e-01,
-5.54090e-01,1.74e-01,5.97e-01,
-5.53944e-01,1.74e-01,5.97e-01,
-5.53797e-01,1.80e-01,5.97e-01,
-5.53651e-01,1.74e-01,5.97e-01,
-5.53504e-01,1.74e-01,5.97e-01,
-5.53358e-01,1.74e-01,5.97e-01,
-5.53212e-01,1.74e-01,5.97e-01,
-5.53065e-01,1.62e-01,5.97e-01,
-5.52918e-01,1.74e-01,5.97e-01,
-5.52772e-01,1.74e-01,5.97e-01,
-5.52626e-01,1.74e-01,5.97e-01,
-5.52479e-01,1.74e-01,5.97e-01,
-5.52333e-01,1.42e-01,5.97e-01,
-5.52186e-01,1.72e-01,5.97e-01,
-5.52040e-01,1.72e-01,5.97e-01,
-5.51893e-01,1.74e-01,5.97e-01,
-5.51747e-01,1.72e-01,5.97e-01,
-5.51600e-01,1.72e-01,5.97e-01,
-5.51454e-01,1.74e-01,5.97e-01,
-5.51307e-01,1.74e-01,5.97e-01,
-5.51161e-01,1.74e-01,5.97e-01,
-5.51014e-01,1.72e-01,5.97e-01,
-5.50868e-01,1.74e-01,5.97e-01,
-5.50721e-01,1.76e-01,5.97e-01,
-5.50575e-01,1.74e-01,5.97e-01,
-5.50428e-01,1.82e-01,5.97e-01,
-5.50282e-01,1.76e-01,5.97e-01,
-5.50135e-01,1.74e-01,5.97e-01,
-5.49989e-01,1.74e-01,5.97e-01,
-5.49842e-01,1.74e-01,5.97e-01,
-5.49696e-01,1.74e-01,5.97e-01,
-5.49549e-01,1.74e-01,5.97e-01,
-5.49403e-01,1.74e-01,5.97e-01,
-5.49256e-01,1.74e-01,5.97e-01,
-5.49110e-01,1.72e-01,5.97e-01,
-5.48963e-01,1.74e-01,5.97e-01,
-5.48817e-01,1.74e-01,5.97e-01,
-5.48670e-01,1.74e-01,5.97e-01,
-5.48524e-01,1.86e-01,5.97e-01,
-5.48378e-01,1.74e-01,5.97e-01,
-5.48231e-01,1.74e-01,5.97e-01,
-5.48085e-01,1.74e-01,5.97e-01,
-5.47938e-01,1.74e-01,5.97e-01,
-5.47792e-01,1.68e-01,5.97e-01,
-5.47645e-01,1.74e-01,5.97e-01,
-5.47499e-01,1.74e-01,5.97e-01,
-5.47352e-01,1.74e-01,5.97e-01,
-5.47206e-01,1.74e-01,5.97e-01,
-5.47059e-01,1.72e-01,5.97e-01,
-5.46913e-01,1.78e-01,5.97e-01,
-5.46766e-01,1.72e-01,5.97e-01,
-5.46620e-01,1.74e-01,5.97e-01,
-5.46473e-01,1.72e-01,5.97e-01,
-5.46327e-01,1.78e-01,5.97e-01,
-5.46180e-01,1.74e-01,5.97e-01,
-5.46034e-01,1.74e-01,5.97e-01,
-5.45887e-01,1.72e-01,5.97e-01,
-5.45741e-01,1.74e-01,5.97e-01,
-5.45594e-01,1.70e-01,5.97e-01,
-5.45448e-01,1.68e-01,5.97e-01,
-5.45301e-01,1.74e-01,5.97e-01,
-5.45155e-01,1.72e-01,5.97e-01,
-5.45008e-01,1.74e-01,5.97e-01,
-5.44862e-01,1.74e-01,5.97e-01,
-5.44715e-01,1.72e-01,5.97e-01,
-5.44569e-01,1.74e-01,5.97e-01,
-5.44422e-01,1.72e-01,5.97e-01,
-5.44276e-01,1.72e-01,5.97e-01,
-5.44129e-01,1.74e-01,5.97e-01,
-5.43983e-01,1.74e-01,5.97e-01,
-5.43836e-01,1.72e-01,5.97e-01,
-5.43690e-01,1.72e-01,5.97e-01,
-5.43544e-01,1.74e-01,5.97e-01,
-5.43397e-01,1.72e-01,5.97e-01,
-5.43251e-01,1.70e-01,5.97e-01,
-5.43104e-01,1.70e-01,5.97e-01,
-5.42958e-01,1.70e-01,5.97e-01,
-5.42811e-01,1.70e-01,5.97e-01,
-5.42665e-01,1.72e-01,5.97e-01,
-5.42518e-01,1.70e-01,5.97e-01,
-5.42372e-01,1.72e-01,5.97e-01,
-5.42225e-01,1.72e-01,5.97e-01,
-5.42079e-01,1.70e-01,5.97e-01,
-5.41932e-01,1.72e-01,5.97e-01,
-5.41786e-01,1.88e-01,5.97e-01,
-5.41639e-01,1.70e-01,5.97e-01,
-5.41493e-01,1.70e-01,5.97e-01,
-5.41346e-01,1.70e-01,5.97e-01,
-5.41200e-01,1.70e-01,5.97e-01,
-5.41053e-01,1.70e-01,5.97e-01,
-5.40907e-01,1.70e-01,5.97e-01,
-5.40760e-01,1.70e-01,5.97e-01,
-5.40614e-01,1.74e-01,5.97e-01,
-5.40467e-01,1.70e-01,5.97e-01,
-5.40321e-01,1.68e-01,5.97e-01,
-5.40174e-01,1.72e-01,5.97e-01,
-5.40028e-01,1.72e-01,5.97e-01,
-5.39881e-01,1.74e-01,5.97e-01,
-5.39735e-01,1.72e-01,5.97e-01,
-5.39588e-01,1.74e-01,5.97e-01,
-5.39442e-01,1.66e-01,5.97e-01,
-5.39295e-01,1.72e-01,5.97e-01,
-5.39149e-01,1.72e-01,5.97e-01,
-5.39002e-01,1.72e-01,5.97e-01,
-5.38856e-01,1.70e-01,5.97e-01,
-5.38710e-01,1.74e-01,5.97e-01,
-5.38563e-01,1.72e-01,5.97e-01,
-5.38417e-01,1.72e-01,5.97e-01,
-5.38270e-01,1.72e-01,5.97e-01,
-5.38124e-01,1.74e-01,5.97e-01,
-5.37977e-01,1.74e-01,5.97e-01,
-5.37831e-01,1.74e-01,5.97e-01,
-5.37684e-01,1.74e-01,5.97e-01,
-5.37538e-01,1.74e-01,5.97e-01,
-5.37391e-01,1.72e-01,5.97e-01,
-5.37245e-01,1.74e-01,5.97e-01,
-5.37098e-01,1.72e-01,5.97e-01,
-5.36952e-01,1.74e-01,5.97e-01,
-5.36805e-01,1.74e-01,5.97e-01,
-5.36659e-01,1.74e-01,5.97e-01,
-5.36512e-01,1.74e-01,5.97e-01,
-5.36366e-01,1.74e-01,5.97e-01,
-5.36219e-01,1.74e-01,5.97e-01,
-5.36073e-01,1.74e-01,5.97e-01,
-5.35926e-01,1.74e-01,5.97e-01,
-5.35780e-01,1.74e-01,5.97e-01,
-5.35633e-01,1.74e-01,5.97e-01,
-5.35487e-01,1.74e-01,5.97e-01,
-5.35340e-01,1.74e-01,5.97e-01,
-5.35194e-01,1.74e-01,5.97e-01,
-5.35047e-01,1.72e-01,5.97e-01,
-5.34901e-01,1.74e-01,5.97e-01,
-5.34754e-01,1.74e-01,5.97e-01,
-5.34608e-01,1.74e-01,5.97e-01,
-5.34461e-01,1.74e-01,5.97e-01,
-5.34315e-01,1.74e-01,5.97e-01,
-5.34169e-01,1.74e-01,5.97e-01,
-5.34022e-01,1.74e-01,5.97e-01,
-5.33876e-01,1.74e-01,5.97e-01,
-5.33729e-01,1.74e-01,5.97e-01,
-5.33583e-01,1.74e-01,5.97e-01,
-5.33436e-01,1.74e-01,5.97e-01,
-5.33290e-01,1.74e-01,5.97e-01,
-5.33143e-01,1.74e-01,5.97e-01,
-5.32997e-01,1.74e-01,5.97e-01,
-5.32850e-01,1.74e-01,5.97e-01,
-5.32704e-01,1.74e-01,5.97e-01,
-5.32557e-01,1.74e-01,5.97e-01,
-5.32411e-01,1.74e-01,5.97e-01,
-5.32264e-01,1.74e-01,5.97e-01,
-5.32118e-01,1.54e-01,5.97e-01,
-5.31971e-01,1.76e-01,5.97e-01,
-5.31825e-01,1.74e-01,5.97e-01,
-5.31678e-01,1.74e-01,5.97e-01,
-5.31532e-01,1.74e-01,5.97e-01,
